지점,지점수,비율
경기,22,16.176470588235293
부산,16,11.764705882352942
충남,15,11.029411764705882
경남,12,8.823529411764707
전북,12,8.823529411764707
경남,12,8.823529411764707
전북,12,8.823529411764707
충북,10,7.352941176470588
대전,9,6.617647058823529
광주,9,6.617647058823529
대전,9,6.617647058823529
광주,9,6.617647058823529
울산,8,5.882352941176471
제주,5,3.676470588235294
서울,3,2.2058823529411766
경북,3,2.2058823529411766
대구,3,2.2058823529411766
인천,3,2.2058823529411766
서울,3,2.2058823529411766
경북,3,2.2058823529411766
대구,3,2.2058823529411766
인천,3,2.2058823529411766
서울,3,2.2058823529411766
경북,3,2.2058823529411766
대구,3,2.2058823529411766
인천,3,2.2058823529411766
서울,3,2.2058823529411766
경북,3,2.2058823529411766
대구,3,2.2058823529411766
인천,3,2.2058823529411766
강원,2,1.4705882352941178
전남,2,1.4705882352941178
세종,2,1.4705882352941178
강원,2,1.4705882352941178
전남,2,1.4705882352941178
세종,2,1.4705882352941178
강원,2,1.4705882352941178
전남,2,1.4705882352941178
세종,2,1.4705882352941178
